epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2965.99,0.28952,0.18885,0.81924,0.95255,0.91011,0.96422,0.89076,0.40905,0.33331,0.87758,0.0002378,0.0002378,0.0002378
91,2999.82,0.27162,0.17504,0.79164,0.89452,0.96629,0.9646,0.88739,0.40758,0.32847,0.88139,0.000218,0.000218,0.000218
92,3032.96,0.26529,0.16912,0.79384,0.89146,0.94382,0.96488,0.8825,0.41726,0.35216,0.88173,0.0001982,0.0001982,0.0001982
93,3065.88,0.26135,0.16567,0.79697,0.91177,0.94382,0.95882,0.88291,0.4035,0.32766,0.88156,0.0001784,0.0001784,0.0001784
94,3098.85,0.25534,0.16062,0.78881,0.91105,0.92061,0.96423,0.88207,0.40268,0.34382,0.88072,0.0001586,0.0001586,0.0001586
95,3131.75,0.25501,0.1603,0.79375,0.91148,0.93258,0.96893,0.89566,0.40363,0.32367,0.88044,0.0001388,0.0001388,0.0001388
96,3164.72,0.25065,0.15574,0.79248,0.94149,0.9041,0.96247,0.88744,0.41194,0.3316,0.87988,0.000119,0.000119,0.000119
97,3197.66,0.25111,0.15476,0.79398,0.91199,0.94382,0.96524,0.89247,0.4056,0.32536,0.88076,9.92e-05,9.92e-05,9.92e-05
98,3229.57,0.24478,0.15133,0.78884,0.9115,0.93258,0.95893,0.88741,0.39733,0.32527,0.87824,7.94e-05,7.94e-05,7.94e-05
99,3262.48,0.24337,0.149,0.78711,0.91295,0.94274,0.95719,0.88779,0.40168,0.32688,0.87742,5.96e-05,5.96e-05,5.96e-05
100,3295.44,0.24345,0.15064,0.78923,0.91296,0.94282,0.95412,0.88599,0.40224,0.32771,0.87896,3.98e-05,3.98e-05,3.98e-05
